dbn,Mean Score
09X414,51.44736842105263
09X517,60.606666666666655
09X525,55.86571428571427
09X543,58.78260869565217
09X564,55.2
10X213,58.731249999999996
10X237,61.63529411764706
10X264,63.84347826086957
10X268,61.251612903225805
10X284,61.94516129032259
10X319,64.71111111111112
10X351,67.34
10X353,62.852
10X374,64.78235294117647
10X397,54.84545454545455
10X433,56.50666666666665
10X434,64.13684210526317
10X437,63.95555555555555
10X438,56.85
10X439,63.7375
10X440,59.84594594594595
10X442,64.11388888888888
10X445,90.55666666666664
10X477,68.78857142857143
10X503,53.74285714285715
10X504,52.45294117647058
10X524,52.777777777777786
10X546,58.81515151515152
10X549,74.6625
10X565,61.135483870967725
10X660,56.44
10X667,55.61666666666667
10X668,53.800000000000004
10X696,88.65625
11X249,60.665624999999984
11X253,60.5925925925926
11X265,67.025
11X270,58.8
11X275,69.4806451612903
11X288,67.22631578947369
11X290,61.951515151515146
11X299,62.66388888888889
11X417,58.98823529411766
11X418,61.145454545454534
11X455,63.58684210526315
11X508,58.04375
11X509,61.85714285714285
11X513,65.33684210526314
11X514,62.89062499999999
11X542,65.25999999999999
11X544,54.271874999999994
11X545,60.11724137931034
12X248,57.412499999999994
12X251,59.360000000000014
12X278,52.425
12X321,54.75714285714286
12X388,66.71000000000001
12X428,53.39
12X446,56.669230769230765
12X478,64.74838709677418
12X479,57.647058823529406
12X480,58.64444444444445
12X511,57.546875
12X521,62.31612903225806
12X550,51.150000000000006
12X682,58.459999999999994
12X684,57.97
12X692,55.937931034482745
13K350,60.74761904761905
13K412,58.527272727272724
13K419,64.51891891891891
13K430,85.84705882352942
13K439,64.925
13K483,68.49310344827587
13K499,59.86774193548386
13K553,66.77777777777777
13K575,71.32352941176471
13K595,79.2969696969697
13K605,60.32058823529411
13K616,56.105
13K657,56.46666666666667
13K670,67.02222222222221
13K674,63.73333333333334
14K322,54.25000000000001
14K449,82.4076923076923
14K454,58.99047619047619
14K474,56.261764705882364
14K477,57.52580645161291
14K478,61.38157894736842
14K488,63.35925925925926
14K558,67.44193548387098
14K561,68.84705882352942
14K610,54.63703703703704
14K632,61.2037037037037
14K685,70.075
14K923,54.573684210526324
15K423,59.438095238095215
15K462,61.00625
15K463,59.728125
15K519,58.30857142857143
15K529,67.53333333333335
15K592,60.78787878787879
15K656,62.88285714285715
15K667,61.38666666666666
15K684,78.1705882352941
15K698,62.066666666666684
16K393,56.105
16K455,60.26875000000001
16K498,61.23611111111112
16K594,79.25
16K669,54.83478260869566
16K688,51.99629629629629
16K765,59.95714285714286
16K959,63.45000000000001
17K122,58.167857142857144
17K408,55.760714285714286
17K467,54.499999999999986
17K489,63.870588235294115
17K524,55.779999999999994
17K528,51.99032258064515
17K537,62.18333333333332
17K539,62.85806451612902
17K544,74.6
17K546,71.075
17K547,59.73529411764705
17K548,58.10967741935484
17K568,58.45
17K600,61.141666666666666
17K745,67.37407407407409
17K751,62.82692307692308
18K563,65.53513513513514
18K566,65.42857142857142
18K567,58.709999999999994
18K569,62.94444444444444
18K576,63.183333333333344
18K578,65.0888888888889
