Time (s),Force (N),CO2 Mass (Mco2),Drag (FD),
8.2858,1.787216089,29.85,0.243,
8.2875,1.726425907,29.85,0.243,
8.2892,1.726425907,29.85,0.243,
8.2909,1.696030816,29.85,0.243,
8.2926,1.635240634,29.85,0.243,
8.2943,1.604845544,29.85,0.243,
8.296,1.544055362,29.85,0.243,
8.2977,1.513660271,29.85,0.243,
8.2994,1.48326518,29.85,0.243,
8.3011,1.452870089,29.85,0.243,
8.3028,1.422474998,29.85,0.243,
8.3045,1.361684816,29.85,0.243,
8.3062,1.331289725,29.85,0.243,
8.3079,1.270499543,29.85,0.243,
8.3096,1.240104452,29.85,0.243,
8.3113,1.17931427,29.85,0.243,
8.313,1.148919179,29.85,0.243,
8.3147,1.118524088,29.85,0.243,
8.3164,1.088128997,29.85,0.243,
8.3181,1.057733907,29.85,0.243,
8.3198,1.057733907,29.85,0.243,
8.3215,0.996943725,29.85,0.243,
8.3232,0.966548634,29.85,0.243,
8.3249,0.936153543,29.85,0.243,
8.3266,0.875363361,29.85,0.243,
8.3283,0.875363361,29.85,0.243,
8.33,0.84496827,29.85,0.243,
8.3317,0.814573179,29.85,0.243,
8.3334,0.784178088,29.85,0.243,
8.3351,0.753782997,29.85,0.243,
8.3368,0.753782997,29.85,0.243,
8.3385,0.723387906,29.85,0.243,
8.3402,0.692992815,29.85,0.243,
8.3419,0.692992815,29.85,0.243,
8.3436,0.662597724,29.85,0.243,
8.3453,0.601807542,29.85,0.243,
8.347,0.601807542,29.85,0.243,
8.3487,0.601807542,29.85,0.243,
8.3504,0.571412451,29.85,0.243,
8.3521,0.54101736,29.85,0.243,
8.3538,0.51062227,29.85,0.243,
8.3555,0.480227179,29.85,0.243,
8.3572,0.480227179,29.85,0.243,
8.3589,0.419436997,29.85,0.243,
8.3606,0.419436997,29.85,0.243,
8.3623,0.389041906,29.85,0.243,
8.364,0.328251724,29.85,0.243,
8.3657,0.297856633,29.85,0.243,
8.3674,0.267461542,29.85,0.243,
8.3691,0.237066451,29.85,0.243,
8.3708,0.20667136,29.85,0.243,
8.3725,0.20667136,29.85,0.243,
8.3742,0.176276269,29.85,0.243,
8.3759,0.115486087,29.85,0.243,
8.3776,0.085090996,29.85,0.243,
8.3793,0.054695905,29.85,0.243,
8.381,0.024300814,29.85,0.243,
